,Unnamed: 0,date,main,temp,feels_like,wind_speed,date_only,time_only
0,0,2022-03-29 21:16:52.299119,1,9.71,9.71,1.12,2022-03-29,21:16:52.299119
1,1,2022-03-29 21:26:53.326143,1,8.0,8.0,0.51,2022-03-29,21:26:53.326143
2,2,2022-03-29 21:36:54.861415,2,9.32,9.32,0.51,2022-03-29,21:36:54.861415
3,3,2022-03-29 21:46:55.862803,2,9.32,9.32,0.51,2022-03-29,21:46:55.862803
4,4,2022-03-29 21:56:57.076835,2,9.32,9.32,0.51,2022-03-29,21:56:57.076835
5,5,2022-03-29 22:06:58.108879,2,8.71,8.71,0.74,2022-03-29,22:06:58.108879
6,6,2022-03-29 22:16:59.282588,1,7.44,7.44,1.03,2022-03-29,22:16:59.282588
7,7,2022-03-29 22:27:00.499042,2,7.87,7.87,1.03,2022-03-29,22:27:00.499042
8,8,2022-03-29 22:37:01.475429,2,7.87,7.87,1.03,2022-03-29,22:37:01.475429
9,9,2022-03-29 22:47:02.650291,2,7.87,7.87,1.03,2022-03-29,22:47:02.650291
10,10,2022-03-29 22:57:03.660026,2,7.87,7.87,1.03,2022-03-29,22:57:03.660026
11,11,2022-03-29 23:07:04.856245,2,7.71,7.71,0.94,2022-03-29,23:07:04.856245
12,12,2022-03-29 23:17:06.027063,1,6.78,6.78,0.51,2022-03-29,23:17:06.027063
13,13,2022-03-29 23:27:07.395948,2,7.24,7.24,0.51,2022-03-29,23:27:07.395948
14,14,2022-03-29 23:37:09.204703,2,7.24,7.24,0.51,2022-03-29,23:37:09.204703
15,15,2022-03-29 23:47:10.331614,2,7.24,7.24,0.51,2022-03-29,23:47:10.331614
16,16,2022-03-29 23:57:11.407029,2,7.24,7.24,0.51,2022-03-29,23:57:11.407029
17,17,2022-03-30 00:07:12.456222,2,6.72,6.72,0.55,2022-03-30,00:07:12.456222
18,18,2022-03-30 00:17:13.555387,1,6.78,5.93,1.54,2022-03-30,00:17:13.555387
19,19,2022-03-30 00:27:14.661550,2,6.62,5.75,1.54,2022-03-30,00:27:14.661550
20,20,2022-03-30 00:37:15.766708,2,6.62,5.75,1.54,2022-03-30,00:37:15.766708
21,21,2022-03-30 00:47:17.020785,2,6.62,5.75,1.54,2022-03-30,00:47:17.020785
22,22,2022-03-30 00:57:18.045996,2,6.62,5.75,1.54,2022-03-30,00:57:18.045996
23,23,2022-03-30 01:07:19.172144,2,5.71,5.71,0.84,2022-03-30,01:07:19.172144
24,24,2022-03-30 01:17:20.278302,1,5.0,3.31,2.06,2022-03-30,01:17:20.278302
25,25,2022-03-30 01:27:21.396457,2,5.87,4.32,2.06,2022-03-30,01:27:21.396457
26,26,2022-03-30 01:37:22.402678,2,5.87,4.32,2.06,2022-03-30,01:37:22.402678
27,27,2022-03-30 01:47:23.479854,2,5.69,4.11,2.06,2022-03-30,01:47:23.479854
28,28,2022-03-30 01:57:24.695950,2,5.69,4.11,2.06,2022-03-30,01:57:24.695950
29,29,2022-03-30 02:07:25.777137,2,4.72,4.72,0.94,2022-03-30,02:07:25.777137
30,30,2022-03-30 02:17:26.842308,1,4.78,3.05,2.06,2022-03-30,02:17:26.842308
31,31,2022-03-30 02:27:27.850891,2,5.24,3.59,2.06,2022-03-30,02:27:27.850891
32,32,2022-03-30 02:37:28.965050,2,5.24,3.59,2.06,2022-03-30,02:37:28.965050
33,33,2022-03-30 02:47:30.050224,2,5.24,3.59,2.06,2022-03-30,02:47:30.050224
34,34,2022-03-30 02:57:31.195362,2,5.06,3.38,2.06,2022-03-30,02:57:31.195362
35,35,2022-03-30 03:07:32.259549,2,3.72,3.72,0.77,2022-03-30,03:07:32.259549
36,36,2022-03-30 03:17:33.363705,1,3.78,3.78,1.03,2022-03-30,03:17:33.363705
37,37,2022-03-30 03:27:34.354932,2,4.25,4.25,1.03,2022-03-30,03:27:34.354932
38,38,2022-03-30 03:37:35.409122,2,4.25,4.25,1.03,2022-03-30,03:37:35.409122
39,39,2022-03-30 03:47:36.700177,2,4.24,4.24,1.03,2022-03-30,03:47:36.700177
40,40,2022-03-30 03:57:37.835322,2,4.25,4.25,1.03,2022-03-30,03:57:37.835322
41,41,2022-03-30 04:07:38.874524,2,3.72,3.72,0.68,2022-03-30,04:07:38.874524
42,42,2022-03-30 04:17:40.016662,1,3.11,3.11,0.51,2022-03-30,04:17:40.016662
43,43,2022-03-30 04:27:41.091842,2,3.87,1.99,2.06,2022-03-30,04:27:41.091842
44,44,2022-03-30 04:37:42.120044,2,3.87,1.99,2.06,2022-03-30,04:37:42.120044
45,45,2022-03-30 04:47:43.694937,2,3.87,1.99,2.06,2022-03-30,04:47:43.694937
46,46,2022-03-30 04:57:44.850070,2,3.87,1.99,2.06,2022-03-30,04:57:44.850070
47,47,2022-03-30 05:07:46.016199,2,3.71,3.71,0.62,2022-03-30,05:07:46.016199
48,48,2022-03-30 05:17:47.013420,1,2.78,2.78,1.03,2022-03-30,05:17:47.013420
49,49,2022-03-30 05:27:48.052618,2,3.69,1.78,2.06,2022-03-30,05:27:48.052618
50,50,2022-03-30 05:37:49.124819,2,3.69,1.78,2.06,2022-03-30,05:37:49.124819
51,51,2022-03-30 05:47:50.208972,2,3.69,1.78,2.06,2022-03-30,05:47:50.208972
52,52,2022-03-30 05:57:51.242178,2,3.59,1.66,2.06,2022-03-30,05:57:51.242178
53,53,2022-03-30 06:07:52.268381,2,2.6,2.6,0.65,2022-03-30,06:07:52.268381
54,54,2022-03-30 06:17:53.319576,2,2.68,2.68,0.65,2022-03-30,06:17:53.319576
55,55,2022-03-30 06:27:54.327789,2,3.69,0.5,3.6,2022-03-30,06:27:54.327789
56,56,2022-03-30 06:37:55.470929,2,3.69,0.5,3.6,2022-03-30,06:37:55.470929
57,57,2022-03-30 06:47:56.596083,2,3.69,0.5,3.6,2022-03-30,06:47:56.596083
58,58,2022-03-30 06:57:57.650270,2,3.87,0.72,3.6,2022-03-30,06:57:57.650270
59,59,2022-03-30 07:07:58.761428,2,3.73,3.73,1.22,2022-03-30,07:07:58.761428
60,60,2022-03-30 07:17:59.910563,1,4.45,4.45,1.03,2022-03-30,07:17:59.910563
61,61,2022-03-30 07:28:01.247592,2,4.62,4.62,1.03,2022-03-30,07:28:01.247592
62,62,2022-03-30 07:38:02.429709,2,4.62,4.62,1.03,2022-03-30,07:38:02.429709
63,63,2022-03-30 07:48:03.466910,2,4.8,4.8,1.03,2022-03-30,07:48:03.466910
64,64,2022-03-30 07:58:04.526100,2,4.8,4.8,1.03,2022-03-30,07:58:04.526100
65,65,2022-03-30 08:08:05.546307,2,5.72,5.72,0.64,2022-03-30,08:08:05.546307
66,66,2022-03-30 08:18:06.695447,2,7.79,7.79,1.03,2022-03-30,08:18:06.695447
67,67,2022-03-30 08:28:07.860571,2,7.99,6.8,2.06,2022-03-30,08:28:07.860571
68,68,2022-03-30 08:38:09.392488,2,7.99,6.8,2.06,2022-03-30,08:38:09.392488
69,69,2022-03-30 08:48:10.837440,2,7.99,6.8,2.06,2022-03-30,08:48:10.837440
70,70,2022-03-30 08:58:12.231435,2,8.17,7.01,2.06,2022-03-30,08:58:12.231435
71,71,2022-03-30 09:08:13.510497,2,7.71,7.71,1.08,2022-03-30,09:08:13.510497
72,72,2022-03-30 09:18:14.706606,2,9.78,8.89,2.06,2022-03-30,09:18:14.706606
